SportsCultureInterestLevel,Count,Percent
"Yes, I regularly follow U-M sports and/orthe Big 10 and/or college sports",466,26.35746606
"Yes, I am a casual fan and will occasionally follow on big sports occasions (i.e. Rose Bowl, March Madness, etc…)",480,27.14932127
"No, but I plan on being when I beginschool at U-M (i.e. go to football/basketball/hockey games)",647,36.59502262
"No, I am not and do not plan on frequently engaging with U-M sports culture",175,9.898190045
